a bad lot,калпазанин
мароканец,Moor
марсианец,Martian
март,March
мартенски,March
маруля,lettuce
марципан,marchpane
марш,march
маршал,marshal
марширувам,file/march
маршрут,itinerary/route
мас,grease
маса,body/bulk/gross/mass/table/stacks
масаж,massage
масажист,masseur/rubber
масажистка,masseuse
масивен,solid/voluminous
масите,populace
маска,disguise/guise/mask/visor
маскарад,mummery
маскирам,disguise/mask
маслен,buttery/oily
масленица,oil-can
маслина,olive
маслинен,olive
маслинов,olive
масло,butter/oil/unction
маслобойна,creamery
маслодаен,oil-bearing
масльонка,oiler/oil-feeder/oil-can
масовнезначително,mass
мастилница,inkstand
мастило,ink
мат,checkmate/mate
математик,mathematician
математика,mathematics
математически,mathematical
материал,material
материален,corporeal/row materials
материя,fabric/matter
матирам,checkmate/frost/mat
матка,matrix/uterus
матов,mat
матрица,former/matrix
махагон,mahogany
махай се,scat/scram
махала,neighbourhood
махало,pendulum
махам се,sheer off
махам,beckon/do away with/doff/retrench/take away/whisk
махане,wag
махвам се,clear off
махвам,cut out/flick/obviate/whip off
махмурлук,hang-over
махнат,mossy
маца,pussy
мацвам,dab
мацване,dab
мач,match
мачкам се,crease/crumple
мачкам,batter
мачта,mast
маша,tongs
машина,engine/machine
машинално,automatic
машинация,machination
машинен,machine/mechanical
машини,machinery
машинист,engineer/mashinist
машинопис,typescript
машинописец,typist
машиностроене,engineering
машиностроител,mechanician/mashinist
мащаб,scale
мая се,tarry/moon
мая,ferment/yeast
ме,me
мебели,furniture
мебелирам,furnish
мебелировка,furniture
мегахерц,megacycle
мед,copper/honey
мед.сестра,nurse
медал,decoration/medal
меден,copper/cupreous/honeyed/honied
медицина,medicine
медицински,medical
медовина,mead
медуза,jellyfish
межда,boundary
междинен,intermediary/intermediate/mid/medial
между,amongst/amid/among/between
междуведомствен,interdepartmental
междувременно,meanwhile/meantime
междуградски,interurban
междузвезден,interstellar/intersiderial
междуметие,interjection
международен,international
междуособен,internicine
междусъюзнически,interallied
междуцарствие,interregnum
междущатски,interstate
мек,balmy/bland/clement/flabby/furry/mushy/mild/mellow/silky/soft
мекере,stooge
мекост,clemency
мекота,mellowness/mildness
мекотело,mollusc
мексиканец,Mexican/greaser
мексиканка,Mexican
мексикански,Mexican
мекушавец,milksop
меланхоличен,melancholy/mope
меланхолия,melancholia/melancholy/spleen
меласа,molasses
мелачка,kibbler
меле,scrimmage
мелез,bastard/half-caste/mongrel
мелиорация,improvement
мелиорирам,reclaim
мелница,mill
мелничар,miller
мелодичен,tuneful
мелодия,melody/strains/tune
меля,mill
мембрана,membrane
мемоари,memoir
менгеме,vice
мене,me
мензура,beaker
менструация,menses
менструирам,menstruate
мента,mint/peppermint/spearmint
меню,menu
меня,vary
мергелен,marly
мержелея се,loom
меридиан,meridian
мерило,standard/terms of reference
мерник,breech-sight/sights
меродавен,authoritative
меря,measure/try on
месар,butcher
месест,flashy/meaty
месец,month
месечен,monthly
месечна,moon
месинг,brass
месо,flesh/meat
месомелачка,meaty-grinder
месояден,carnivorous
местен,indigenous/native/local/regional/sectional/vernacular
местност,locality/place/terrain
местожителство,habitation/residence
местоимение,pronoun
местоназначение,whither
местонахождение,whereabouts
местоположение,locality
местя се,move
меся се,poke/tamper
меся,batter/knead
мета,broom/sweep
метал,metal
метален,metal
металик,brazier
металургичен,metallurgical
метан,methane
метафора,metaphor
метач,scavehger/sweep
метен,swept
метене,sweep
метеорология,meteorology
метил,flukeworm/methyl/rot
метис,half-caste
метла,broom
метличина,corn flower
метод,method
методичен,methodical/well-regulated
метох,convent/nunnery/swept
метро,subway/tube
метрополия,metropolis
метър,meter/metre
механизация,mechanization
механизирам,mechanize
механизми,machinery
механизъм,machine/mechanism
механик,fitter/mechanic/mashinist/operator
механика,mechanics
механичен,mechanical
мехлем,ointment/salve
мехур,bladder/bubble/blister/cyst
мехурче,bead
мецанин,mezzanine
меч,sword
мече,whelp
мечешки,ursine
мечка,bear
мечта,reverie
мечтаех,dreamt
мечтан,dreamt
мечтател,dreamer
мечтая,dream
ми,me
мивка,sink
миг,flash/jiffy/moment/trice
мигам,bat/blink/glimmer/twinkle/wink
мигане,blink/wink
мигла,eyelash/eyelash/lash
мигновен,instantaneous
мигновено,in a blink
мигновеност,instantaneousness
миграция,migration
мигрена,megrim
мида,clam/mussel
миене,wash
мизерия,misery
мизерност,wretchedness
мизерствуващ,destitute
микроб,germ/microbe
микрокосмос,microcosm
микрон,micron
микроскоп,microscope
микроскопичен,macroscopic
микрофон,microphone
мил,congenial/comfortable/darling/dear/cute/kindly/kind/sweet
милвам,caress/fondle/palm
милиард,billion/milliard
милион,million
милиция,militia
миловидност,comeliness
милост,clemency/grace/mercy/pithy/pity/ruth
милостив,benevolent/clement/gracious/merciful/soft-hearted
милостиня,alms/dole
милосърден,charitable
милосърдие,clemency/charity
миля,mile
мимика,gesture
мимикрия,mimicry
мимоходом,passingly
мина,egg/mine/torpedo/working
минавам,get through/pass
минаване,lapse/pass
минал,last/past/up
минало,past
минерал,mineral
минерален,mineral
минералогия,mineralogy
минзухар,crocus
миниатюра,miniature
миниатюрен,miniature
минимален,minimal
минимум,minimum
минирам,mine
министерски,cabinet
министерство,department/ministry
министър,minister/officer of state
министър-председател,Prime Minister/premier
минохвъргачка,mortal
миночистач,mine-sweeper
минувач,passer-by
минус,less
минута,minute/trice
минутен,momentary
миньор,miner
мир,peace
мирен,placid/peaceful/pacific
миризма,odour/scent/smell
мириша,smell
миришех,smelt
мирски,secular
мисионер,missionary
мисионерски,missionary
мисис,mrs
мисия,errand/mission
мискет,muscatel
мислен,mental
мислене,thinking
мислено,mentally
мислех,thought
мислещ,intellectual/take thought for
мислим,conceivable/thinkable
мисловен,intellectual
мисля,conceive/believe/deem/guess/think/ruminate about/ruminate over/ruminate on/ruminate/ween/trow
мистерия,mystery
мистик,mystic
мистификация,mystification
мистичен,mystic
мистрия,trowel
мистър,mr
мисъл,cogitation/thought
мит,myth
митинг,rally
митичен,mithical/mythic
митница,customs
мито,duty/customs/custom
митология,mithology
мишена,butt
миши,mousy
мишка,mouse
мишки,mice
мия се,lave/wash
мия,bathe/mop/shampoo/swab down/swab
миялка,swab
млад,juvenile/youthful/young
младеж,Jack/juvenile/youth
младежки,juvenile/juvenile/youth
младея,wear well
младоженец,bridegroom
младок,sapling
младолик,youthful
младост,youth
младши,junior/subaltern
млекар,milkman
млекопитаещо,mammal
млечен,milk/milch
млечка,spurge
млъквам,shut up
млъкни,chuck it
мляко,milk
мнемомически,mental
мнемоничен,mnemonic
мнение,advice/belief/idea/judgement/mind/notion/opinion/thinking/sentiment/say/view/verdict/voice
мним,supposititious/seeming
мнителен,suspicious
много,almighty/a good deal/a great deal/a lot of/awfully/ever so much/greatly/jolly/mighty/lots of/many/much/lot/out and away/powerful/plenty/ripping/thundering/scores/very much/very/various/vastly
многоброен,numerous
многогодишен,perennial
многоетажен,multistorey
многозначителен,meaning/portentous
многозначително,meaningly
многократен,frequent/multiple/manifold
многократно,repeatedly
многословен,copious/gaseous/long-winded/prolix/verbose/voluble/windy/wordy
многословие,verbiage/verbosity
многословно,wordily
многостепенен,many-stage
многострадален,long-suffering
многостранен,many-sided/versatile
многостранност,versatility
многотомен,voluminous
многоцветен,multicoloured
многочислен,large/long/multiple
множествен,plurality/plural
множество,concourse/host/mass/many/multitude/ruck/variety
множимо,multiplicand
мнозинство,generality/majority/the rank and file
мобелирам,upholster
мога,can/may
могила,barrow/knoll/mound
могъщ,mighty/powerful/potent
могъщество,might/potency
мода,craze/fashion/style/vogue
модален,modal
модел,model/pattern
моделирам,model on/model after/model upon/model
моден,chic/fashionable/genteel/modish/stylish/smart
модерен,modern/up to date
модистка,milliner
модулация,inflection/inflexion
модулирам,modulate
мозаичен,mosaic/tesselated
мозайка,inlay/mosaic/riff-raff
мозък,brain/medulla
мозъчен,cerebral
мой,mine/my
мокасин,moccasin
мокриш,cress/water cress
мокря,souse/wet
мокър,wet
молба,appeal/application/boon/prayer/petition/plea/request/suit
молекула,molecule
молец,moth
молибден,molybdenum
молив,pencil
молитва,prayer
молитвен,devotional
моля се,pray/worship
моля,I beg your pardon/ask for/appeal/adjure/ask/beg/bid/crave/implore/plead/please/request/you are welcome
мома,lass/maid/wench
момент,instant/hour/moment/time/while
моментален,instantaneous
моментално,in a tick/instantaneously
моменталност,instantaneousness
момински,maiden
моминство,maidenhood
момици,sweet-bread
момиче,girl
момче,bloke/boy/bob/chap/fellow/lad/knave/guy
момчешки,boyish/puerile
момък,bob/lad
монарх,monarch/sovereign/sovereign
монах,monk/religious
монахиня,nun
монашески,monastic
монета,bean/coin/money
монетен,monetary
монети,cash/hard cash
монитор,monitor
монопол,monopoly
монотонност,humdrum
монтаж,assembly/fitting/mounting
монтажник,adjuster
монтирам,assemble/install/mount
монтиране,assembly/adjustment
монтьор,adjuster/fitter/layer
монументален,monumental/statuesque
мопед,scooter
морав,purple/prune
морава,lawn/sward
морал,morality
морален,moral
морално,morally
морбили,measles
морга,morgue
море,sea/water
мореплаване,seafaring
мореплавател,navigator
мореплавателен,nautical
морж,morse/walrus
морков,carrot
морски,marine/maritime/naval/nautical
мортира,mortal
моруна,cod/haddock
морфин,morphine
морфология,accidence/morphology
моряк,Jacktar/gob/hearty/seaman/sailor/tar/tarpaulin
мост,bridge
мостра,pattern/sample
мотив,motive/tune
мотивирам,motivate/motive
мотика,hack/hoe/mattock/picker
мотичка,spud
мото,motto
мотор,engine/motor
мотоциклет,motorcycle
мохамеданин,pagan
мохамедански,Moslem/Muslim
мочур,fen/morass
мочурлив,quaggy/soggy/water-logged
мошеник,bad egg/bad hat/bad lot/charlatan/crook/fraud/gyp/impostor/rook/rogue/rascal/scoundrel/sharper/sharp/swindler/varlet/twister/trickster
мошенически,fraudulent/roguish
мошеничество,foul play/fraudulence/gyp/knavery/roguery/skulduggery/sharp practice
мощ,energy/might
мощен,mighty
мощност,capacity
мравка,ant
мравуняк,anthill
мраз,chill/frost
мразовит,chilly/frosty
мразя,abominate/abhor/dislike/detest/hate
мрак,darkness/dark/gloom/night
мракобесие,obscurantism
мрамор,marble
мрачен,bleak/blue/black/dull/dismal/dreary/heavy/grey/gloomy/grim/gaunt/moody/morose/murky/lugubrious/rueful/sombre/woebegone/cheerless
мрачност,bleakness
мрежа,meshwork/network/net
мрежест,meshy
мрежи,meshwork
мръвка,morsel/titbit
мръсен,dirty/foul/impure/grubby/grouty/messy/salacious/sordid/squalid/smeary/slovenly
мръсотия,dirt/filth/impurity/mud/muck
мръщя се,lower/scowl/frown/lour
му,him
муден,dilatory/long/slothful/tardy/sluggish
мудност,apathy/inertia
музей,museum
музика,music
музикален,musical
музикант,musician
мукава,cardboard
мулат,mulatto
мулати,mulattos
муле,hinny/mule
мумия,mummy
мундщук,mouthpiece
муниции,ammunition
мургав,dark/swarthy/tawny/swart/sawrt
муселин,muslin
мускул,muscle
мускулен,muscular
мускулест,beefy/brawny/muscular/sinewy
мускули,beef/brawn/sinews
мускус,musk
мусон,monsoon
мустак,moustache
мустанг,mustang
мустаци,moustaches
мустаче,tendril
мутирам,crack
мутолевя,mumble
муфа,muffle/union
муха,fly
мухльо,nincompoop
мухлясал,wormeaten
мухъл,mould/must
муцуна,snout
муча,bellow/low/moo
мучене,bellow/low
мушама,buckram/mackintosh/oil-skin/oilcloth/raincoat/tarpaulin
мушамен,oil-skin
мушвам се,whisk/whip
мушвам,dig/lunge
мушване,lunge/poke/stab
мушичка,midge
мушка,sights
мушкам,job/jab/goad/stick
мушкане,job
мушкато,geranium
мушмула,medlar
мъгла,fog/haze/mist/vapour
мъглив,brumous/cloudy/misty/vapoury/vapourous
мъгляв,nebulous
мъглявост,nebula
мъдрец,sage
мъдрост,wisdom
мъдър,sagacious/sage/sapient/wise
мъж,male/man
мъжделея,glimmer
мъждукам,blink
мъждукане,glimmer
мъже,men
мъжествен,masculine/manly/manful/virile
мъжество,manhood
мъжкарана,romp
мъжки,masculine/male/virile
мъка,anguish/burden/distress/pain/torment/tribulation/torture
мълва,rumour
мълния,bolt/lightning/thunder
мълчалив,mum/reticent/silent/taciturn/tight-lipped/tacit
мълчание,hush/silence
мълчи,stow it
мъмрене,vituperation
мъмря,chide/find fault with/lecture/jaw/reprimand/row
мънистен,beady
мънисто,bead
мъничък,tiny/teeny/wee
мънкам,hum/mumble
мързел,idleness/indolence
мързелив,lazy/idle/sluggish/slothful
мързеливец,sluggard/truant
мърморене,grumble/murmur
мърморко,pouter
мърморя,grouse/jibber/grumble/grunt/mutter/murmur
мърся се,dirty
мъртвешки,cadaverous
мъртвороден,still-born
мъртъв,dead
мърша,carrion/offal
мършав,lean/gaunt/meager/raw-boned/scrawny/scraggy
мъст,vengeance
мътен,cloudy/muddy/thick/turbid
мътилка,ooze
мътя,hatch
мъх,down/fluff/fuzz/moss
мъхест,mossy
мъча се,struggle/travail
мъча,martyr/rankle/torment
мъчен,difficult/uphill
мъчение,torment/torture
мъченик,martyr
мъчех се,sought
мъчител,tormentor
мъчителен,dolorous/grievous/painful/poignant
мъчноразтопим,refractory
мъчнотия,difficulty
мюре,stool-pigeon
мюсюлманин,Muslim/Moslem
мюсюлмански,Muslim/Moslem
мярка,gauge/measure
място,appointment/collocation/berth/position/place/room/space/seat/spot/where
мястро,station
мятам се,fling/tumble/toss
мятам,sling
мятане,throw
мятах се,flung
мятах,threw
мяукам,waul
мях,skin
мя,
на,at/against/after/against/into/in/of/onto/on/per/upon/up
набег,foray
набеден,would-be
набивам,gruel/jacket/thrash/walk into
набирам се,crumple/wrinkle
набирам,full/gather/goffer/recruit/rumple
набит,podgy/thickset/stocky
наближавам,draw near/near
наблизо,at hand/about/hard by/handy/nearby/within reach/within call/close by/close to
наблъсквам,bundle in
наблюдавам,eye/observe/sight/watch/twig
наблюдател,inspector/observer/spectator
наблюдателен,observing/observant
наблюдение,observation/supervision
наблягам,accentuate/emphasize/insist on/insist/stress/urge
наблягане,emphasis
набожен,devotional/pious
набожност,devotion
набор,frill/goffer/levy/ruffle
набразден,striated
набраздявам,furrow/line
набран,running/wrinkly
наброявам,number
набръчкан,creasy/rugged/wrinkly
набръчквам се,ridge/ruckle/ruck/wrinkle/crinkle/crumple/dimple
набръчквам,corrugate/seam/ruffle
набързо,in a hurry
наваксвам,overtake
навалица,crush/crowd/cram
наведен,leant
наведнаж,at a tretch
наведнъж,at a sitting/outright
наведох се,bent
навеждам се,stoop/tip/lean/tilt/droop/bend/hang out/crouch
навеждам,bow/lower
навеждане,heel/tilt
навес,awning/canopy/penthouse/tent/shed
навестявам,drop in/look in
навечерие,eve
навивам се,roll/coil
навивам,crimp/reel in/spool/wind up/clew/clue
навигатор,navigator
навик,custom/habit/wont
навиквам,accustom to
навикнал,used to
нависоко,aloft/hight up
навит,wound
навици,ways
навлажнявам,damp
навлизам,enter
навличам,slip on
наводнение,debacle/flood/inudation/overflow/spate
наводнявам,deluge/drown/flood/inudate/swamp
навреме,in time/pat/well-judged
навременен,apropos/opportune/ready/seasonable/timely/well-timed
навсякъде,all-round/all over/anywhere/everywhere
навън,abroad/forth/out of/outdoor/outdoors/out of doors/outwards/outside/out/without
навървям,lace
навъртам се,hang about
навъсен,gruff/glum/hangdog/moody
навътре,inland/inward/inwards/up-country
навярно,presumably
навяхвам,dislocate/sprain
навяхване,sprain
навяхнат,out of joint
нагаждам се,humour/temporize
нагаждам,fashion
нагласявам се,brush up
нагласявам,adjust/cook/fix up/rig
нагледен,descriptive
наглеждам,monitor
наглост,front/hardihood
нагоре,over/uphill/upwards/up/upward
награда,award/guerdon/prize/reward
награждавам,award/guerdon
нагревател,heater
нагревателен,heating
нагрубявам,cheek
нагръдник,ruff
нагрявам се,heat
нагряване,heating
нагъвам,corrugate/crease/crimp/goffer/tuck in
нагъл,barefaced/brazen-faced/presuming
нагънатост,undulation
нагъсто,thick
над,above/over/super
надалеч,aloof/away
надалече,afield
надарен,capable/gifted
надареност,genius
надарявам,endow
надбавка,extra
надбъбречен,suprarenal
надбягвам се,race
надбягване,race
надвечер,towards evening
надвивам,overbear/overpower/worst
надвиквам,talk down
надвисвам,beetle/impend
надвишавам,surpass
наддавам,put on weight
надделявам,override/prevail
надежда,hope
надежден,dependable/promising
надеждност,reliability
наденица,hamburger/sausage
надживявам,outlast/outlive/survive
надзиравам,inspect/oversee/overlook/superintend/supervise
надзираване,supervision
надзирател,driver/fireman/gaffer/overseer/superintendent
надзор,control/oversight/surveillance
надзъртам,snoop
надигам се,arise/heave/upsurge
надигнат,arisen
надигнах се,arose
надиплям,corrugate/crimp
надлежно,duly
надменен,cavalier/haughty/huffy/lofty/overbearing/proud/snooty/snippy/supercilious
надменност,arrogance
надминавам,distance/outdo/outgo/outrun/outbalance/outstrip/overreach/whip
надмогвам,overbear
надмощие,predominance
надница,wage
надничам,peer/peep
надничане,peep
надничар,day-labourer
надничен,wage
надолу,downward/down with him/downhill/under
надпис,legend/headline/inscription/sign
надписвам,inscribe/superscribe
надпреварвам,outstrip
надрасквам,scribble
надраствам,outgrow
надсмивам се,fleer
надстройка,superstructure
надувам,inflate/wind
надупчвам,pit
надут,pompous/puffed up/turgid/tumid
надутост,bombast/pomposity
надхвърлям,exceed/overshoot/overrum
надхитрям,get round/outwit/overreach
надценявам,overrate/overestimate
надявам се,hope
надясно,on the right/on right/to the right
наежвам се,bristle up
наежен,grouty
наелектризирам,electrify
наелектризиран,electric/electrical
наем,lease/rental/rent
наемам,hire/renter/rent
наемане,hire
наемател,lessee/occupant/renter/roomer/tenant
наематели,tenantry
наемен,mercenary
наемник,hireling/hack
наемодател,lessor/renter
нажежавам се,heat
нажежен,aglow/glowing
назад,aback/astern/backward/aft/backwards/back/behind/wo-back
назад-напред,back and forth
назадничав,retrograde
название,appellation
назидавам,edify
назидание,edification
назидателен,edifying
назначавам,assign/appoint/designate/name/nominate/post/put in
назначаване,assignment
назначен,designate
назначение,appointment/nomination/punishment
назрявам,come to a head/mature/maturate
назъбвам,jag/indent/tooth
назъбен,cogged/indented/ridged/serrated
назъбеност,indentation
назъртам,pry
наивен,fond/naive
наивник,silly
наивност,innocence/naivety
наизуст,by heart
наистина,actually/forsooth/indeed/really/so it is/so/true
най-вече,make the most of/most
най-висок,peak
най-висш,uppermost
най-голям,best/utmost
най-горен,uppermost
най-далеч,furthest
най-далечен,farthermost/utmost
най-добър,best
най-долен,bottom/nethermost/undermost
най-дълбок,inmost
най-заден,backmost/aftermost/rearmost
най-зле,worst
най-лош,worst
най-лошото,worst
най-малко,at least/least
най-малък,least
най-много,at most/most
най-модерен,up-to-date
най-нисък,bottom/rock-bottom
най-отдалечен,furthest
най-отдалечено,farthermost
най-после,at last/finally/in the end/in the long run
най-сетне,at last
найлон,nylon
найлонов,nylon
наказание,correction/penalty/punishment
наказателен,penal/retributory/retaliatory
наказвам,chastise/castigate/correct/come down/discipline/penalize/punish
наказуем,penal
накарвам,induce/make/send
наквасвам,souse
наквасване,souse
наквасен,soggy
накип,fur
накипял,pent up
накисвам,soak/steep
накисване,soak
накланям,bias/lurch
наклон,bias/batter/chute/dip/lean/gradient/grade/incline/inclination/incidence/leaning/rake/throw/tilt/slant/slope
наклонен,bent/downhill/sloping
наклонение,mood/mode
наклонност,tendency
наклонявам се,slant/incline/slope/rake
наковалня,anvil
наколенници,greaves
наконечник,tab
накратко,briefly/in short/in brief/shortly
накрая,at length/eventually/last
накриво,askew/awry/aslant
накуцвам,hobble
накуцване,hobble
накъде,whither/where
накъдето,whither
накърнявам,aggrieve/blemish/violate
накърняване,violation
налагам се,bulk
налагам,command/enforce/force/inflict/lay on/impose/fustigate/levy
налбант,farrier
налбантство,farriery
належащ,urgent
наличен,available
наличие,existence
наличност,availability
налог,tax
налучквам,hit on
налъм,patten
наляво,left/on the left
налягане,pressure
нам,us
намазвам,anoint/grease/lubricate/oil/oily/spread/salve/smear
намаление,curtailment/cut/reduction
намалявам се,ooze out/lessen/decrease/diminish/dwindle/cut in
намалявам,abate/allay/bate/cut down/ease/deflate/ebb/extenuate/impair/reduce/remit/thin/whittle away/whittle down
намаляване,abatement/ebb/decrease/diminution/depression/wane
намек,dig/hint/half-word/intimation
намеквам,imply
намерен,found
намерение,aim/design/intent/in my view/intention/mind/object/purpose
намерих,found
намеса,interference/intervention
намесвам се,interpose/intervene/interfere/barge in/butt in
наместник,vicar
наметало,mantle/shroud/wrap/cloak
намигам,wink
намирам,find/scare up
намиране,finding
намирах се,stood
намокрям се,moisten
намокрям,bathe
намокряне,drench
намордник,muzzle
намотавам,clue/clew/reel
намотка,coil
намръщване,frown/scowl
намръщен,beetle
намусен,sullen
намятам,throw on
нанагоре,aloft
нанагорен,uphill
нанасям се,move in
нанасям,lay on/superimpose
нани-нани,bye-bye
наниз,string
нанизан,strung
нанизах,strung
нанизвам,string/thread
наново,afresh
нанос,deposit/silt
наносен,alluvial
наобикалям,drop in/look in
наоколо,about/around/round about
наопаки,topsyturvy/wrong side out
наочници,blinkers
нападам,attack/assault/assail/come upon/beset/be upon/fall on/fly at/jump on/set upon/set on
нападение,assault/aggression/attack/charge/foray/inroad/onset/offence/raid/tilt
напаст,pest/plague/visitation
напевност,cadence
наперен,cocksy/cocksure/cocky/coxy/perky
напет,dapper/spruce/trig
написвам,indite/mark up/write out
напитка,liquor
напластяване,stratification
наплашвам,browbeat
наплесквам,spank
наплив,affluence/influx/inflow
наподобявам,hit off/mimic/resemble
наполовина,by halves/half/semi
напомням,admonish/remind
напомняне,admonition/reminder/prompt
напор,rush
напоследък,lately
напосоки,at random/at a venture
напоявам,flood/irrigate/permeate/steep/saturate
направа,frame/making/make
направен,done/made
направление,destination
направлявам,helm/regulate/rein in/steer
направо,blankly/bolt/clean/directly/downright/due/first-hand/forthright/outright/offhandedly/roundly/right on/straight/straight on/slap
напразен,futile
напразно,in vain/to no purpose
напрашавам,dust
напращял,bursting
напргнат,strenuous
напрегнат,intense/overstrung/overwrought/tense
напрегнато,intensiveli
напрегнатост,tension/tightness
напред,along/ahead/afore/forth/forwards/forward/onward
напредвам,advance/get on/make one's way/proceed/progress
напредване,progress
напреднал,advanced/gone
напредничав,advanced/progressive
напредък,advance/improvement/progress
напрежение,electricity/intensity/tightness/suspense/tension/voltage
напречен,cross/transverse
напречно,across
например,for instance/for example/such as
напротив,on the contrary
напръсквам,sprinkle
напръстник,foxglove/thimble
напрягам се,strain
напрягам,exert/tax
напрягане,exertion
напряко,across
напукан,chapped
напуквам се,chap
напукване,bursting
напускам,abandon/desert/drop/desolate/forsake/fall away/leave upon office/leave/relinquish/quit/resign/secede/walk out
напуснат,derelict/forsaken
напъване,exertion
напълно,all/absolutely/altogether/completely/bodily/dead/full/finally/fully/in full/plenty/outright/perfectly/richly/quite/to perfection/stark/surely/thoroughly/well/totally/wide/wholly/clean
напълнявам,fill out/gain weight/put on weight
напъпвам,burgeon/bud/sprout
напъхвам,bundle in/wedge in
напявам,croon/intone/troll
нар,pomegranate
нарамвам,shoulder
наранявам,hurt
нараняване,injury
нараствам,accrue/increase
нарастващ,crescent
наред,abreast/consecutive/in a row/on end/running
нареждам се,range/rank
нареждам,arrange/align/appoint/crate/enact/instruct/line/order/take orders
нареждане,appointment/dictation/order
наречие,adverb
нарицателен,appellative
нарицателно,byword
наричам,call/denominate/entitle/name/style/term
наричане,denomination
народ,folk/nation/people
народен,folk/national/popular/vulgar/vernacular
народност,nationality
нарочен,express
нарочно,on purpose/purposely
нарушавам,contravene/depart/invade/outrage/violate/transgress/trespass/trouble
нарушаване,violation
нарушен,broken
нарушение,contravenion/breach/infraction/offence/wrongdoing
нарушител,offender/transgressor/wrong doer
нарцис,narcissus
наръсвам,strew
наръч,armful/bottle
наръчник,companion/manual
наряд,quota
нарязвам,cut up
нас,us
насаждам,implant/inseminate
насапунисвам,lather
насекомо,bug/insect
население,population
населявам,people/populate
насилвам,force/rape
насилие,coercion/force/outrage/violence
насилствен,outrageous
насип,bulwark/bank/dike/embankment/rampart
насипвам,hill
наситен,replete
насичам,chop/cut up
насищам,saturate/transfuse
наскоро,briefly
наскърбявам,grieve
наслада,delight/enjoyment/relish
наслаждавам се,take delight/bask/enjoy
наслаждение,fruition
наследник,heir/legatee
наследница,heiress
наследствен,heritable
наследственост,heredity
наследство,bequest/inheritance/heritage/legacy/patrimony
наследявам,heir/inherit/succeed
наследяване,heirdom/inheritance/succession
наследяем,heritable
наслояване,bedding
наслуки,at a venture/by guess
насмалко,narrowly
насмешка,jest
насмешлив,quizzical
насмолявам,pitch/tar
насока,tenor/run/trend
насоки,terms of reference
насочвам,direct/level/set/train on
насочване,governance
насреща,opposite
насрещен,cross/opposite
наставка,suffix
наставления,instructions
наставник,monitor/mentor/preceptor/tutor
настанявам,accommodate/fill up/fix up/establish/install/lodge/pitch/put up
настаняване,accommodation/lodging
настивам,catch a cold
настигам,gain on/overtake
настилка,pave
настойник,guardian
настойнически,tutelary
настойничество,tutelage/wardship/ward
настойчив,clamant/firm/instant/opinionated/persevering/persistent/urgent
настойчиво,urgently
настойчивост,insistence/urgency
настоявам,insist/persist
настояване,insistence
настоятелен,assertive/importunate
настоящ,being
настояще,present
настоящето,now
настрана,aloof/aside/away/apart from/apart
настрани,sidewards
настроение,climate/cheer/humour/mood
настройвам,key/voice/tune
настъпвам,close in/come on
настъпвах,fell
настъпление,advance
настървявам,flesh
настъргвам,grate
насъбран,pent up
насърчавам,cheer/embolden/encourage/nerve
насърчение,encouragement
насърчителен,inspiriting/reassuring
насъсквам,halloo/hound/instigate/set on/sick
насъщен,vital
нататък,forth/forward/forwards/there
натегнатост,constraint
натежнял,top-heavy
натиквам,cram
натиск,compression/duress/pressure/stress
натискам,press
натискане,press
натоварвам,burden/lade
натоварване,load/shipment/stowage
натопявам,liquor/soak
наторявам,batten/fecundate/manure
наторяващ,fecund
наточици,stippled
натрапвам се,obtrude on
натрапвам,foist/intrude
натрапване,obtrusion
натрапчив,obtrusive
натривам,rub in
натрий,sodium
натрупвам,accumulate
натрупвам се,bank
натрупвам,amass/garner/heap/lumber/stack
натрупване,amassment
натруфвам,bedizen
натупвам,beat up/drub/lick/wallop/whoop
натурализирам,nationalize/naturalize
натъквам се,butt/rencounter/stumble upon
натъквах се,ran
натъкмявам се,get into trim
натъкмявам,fit in
натъпкан,replete
натъпквам се,cram
натъпквам,pack-thread/tuck
натъртвам,point to
натюрморт,still life
натяквам,rub it in/twit
наука,knowledge/learning/science
наум,mental
наустник,header
научавам се,learn
научавам,get out/get/understand
научен,scholarly/scientific
научих,learnt
наушник,tab
нафта,naphtha
нафталин,naphthalene/naphthaline/moth-balls
нахакан,brash
нахален,brazen/cheeky/impertinent/insolent/nervy/offensive/saucy/uppish
нахалник,bur/boor/bounder
нахално,cheekily
нахалства,nerves
нахалство,impertinence/gall/nerve/sauce/self-assertion
нахвърлен,roughcast
нахвърлям се,go for/tilt/round on
нахвърлям,touch off/write off
нахлувам,encroach/invade/raid
нахлуване,irruption/incursion/inrush
нахлузвам,slip on
находка,find
находчив,resourceful
находчивост,readiness/resource
нахокване,dressing
нахранен,fed
нахълтвам,crowd in/rush into
национален,national
национализирам,nationalize
националност,nationality
нация,nation
начален,embryo/incipient/initiative/initial/opening/rudimentary
началник,boss/chief/superior/warden
начало,birth/beginning/basis/commencement/conception/first/germ/fundamental/go-off/inception/initiative/genesis/lines/onset/prime/outset/opening/origin
начеващ,incipient
начело,at the head of
начетен,well read/well-read
начетеност,reading
начин,contrivance/fashion/manner/method/mode/resource/style/way/wise
начинаещ,beginner
начинание,undertaking
начини,ways and means
начумерен,glum/surly
наш,ours/our
нашественик,invader
нашествие,inroad/invasion/irruption
нашивка,chevron
нашироко,wide/widely
нащрек,alert/on the watch
не,don't/not/nay/nor/no/nix
небе,heaven/sky
небен,palatal
